관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
영동추풍령,충북 영동군 추풍령면 신안리 112-5,128.0166683,36.24755486,2016,349.71,353.08,3.37,-,-,-
영암미암,전남 영암군 미암면 미암리 994-1,126.5829541,34.69713281,2016,20.7,23.53,2.83,20.84,23.55,2.71
영암영암,전라남도 영암군 영암읍 대신리 704-23,126.7078882,34.81024269,2016,3.07,8.38,5.31,2.96,8.38,5.42
영암학산,전남 영암군 학산면 금계리 1098-3,126.5851359,34.72788867,2016,30.22,33.23,3.01,-,-,-
영양영양,경북 영양군 영양읍 현리 21-1,129.1270803,36.65761523,2016,218.67,222.91,4.24,-,-,-
영양입암,경북 영양군 입암면 신구리 94-2,129.0828789,36.6086759,2016,188.04,194.39,6.35,-,-,-
영월상동,강원 영월군 상동읍 내덕리 235,128.7808871,37.11885318,2016,422.61,425.32,2.71,-,-,-
영월영월,강원 영월군 영월읍 영흥리 85,128.4757876,37.21419822,2016,193.64,215.15,21.51,-,-,-
영주문정,경북 영주시 문정동 706,128.6099195,36.80663646,2016,129.46,134.12,4.66,129.47,134.1,4.63
영주풍기,경북 영주시 풍기읍 전구리 718-1,128.4780698,36.87351051,2016,317.58,324.89,7.31,-,-,-
영천금노,경북 영천시 금노동 398-1,128.9307501,35.95496493,2016,71.06,72.89,1.83,-,-,-
영천청통,경북 영천시 청통면 치일리 286-7,128.8001153,35.99188836,2016,102.82,121.65,18.83,-,-,-
영천화북,경북 영천시 화북면 자천리 895,128.9209231,36.10935526,2016,151.91,155.594,3.684,-,-,-
예산덕산,충남 예산군 덕산면 읍내리 428-15,126.663829,36.7057784,2016,48.01,51.05,3.04,48.5,51.05,2.55
예산예산,충남 예산군 예산읍 주교리 420-2,126.8259573,36.6760302,2016,7.35,14.31,6.96,7.42,14.31,6.89
예산오가,충남 예산군 오가면 역탑리 66-4,126.8067043,36.68429653,2016,10.52,13.3,2.78,10.35,13.16,2.81
예천예천,경북 예천군 예천읍 지내리 256-2,128.4240306,36.64074456,2016,83.28,87.17,3.89,83.34,87.19,3.85
예천풍양,경북 예천군 풍양면 공덕리 387-5,128.3055559,36.50496182,2016,55.8,57.61,1.81,-,-,-
오산궐동,경기 오산시 궐동 130-5,127.062175,37.16153341,2016,45.06,58.01,12.95,-,-,-
